¿¬µµ,ÆÀ¸í,AVG_Hitter,G_Hitter,PA_Hitter,AB_Hitter,R_Hitter,H_Hitter,2B_Hitter,3B_Hitter,HR_Hitter,TB_Hitter,RBI_Hitter,SAC_Hitter,SF_Hitter,BB_Hitter,IBB_Hitter,HBP_Hitter,SO_Hitter,GDP_Hitter,SLG_Hitter,OBP_Hitter,OPS_Hitter,MH_Hitter,RISP_Hitter,PH-BA_Hitter,ERA_Pitcher,G_Pitcher,W_Pitcher,L_Pitcher,SV_Pitcher,HLD_Pitcher,WPCT_Pitcher,IP_Pitcher,H_Pitcher,HR_Pitcher,BB_Pitcher,HBP_Pitcher,SO_Pitcher,R_Pitcher,ER_Pitcher,WHIP_Pitcher,CG_Pitcher,SHO_Pitcher,QS_Pitcher,BSV_Pitcher,TBF_Pitcher,NP_Pitcher,AVG_Pitcher,2B_Pitcher,3B_Pitcher,SAC_Pitcher,SF_Pitcher,IBB_Pitcher,WP_Pitcher,BK_Pitcher,G_Defense,E_Defense,PKO_Defense,PO_Defense,A_Defense,DP_Defense,FPCT_Defense,PB_Defense,SB_Defense,CS_Defense,CS%_Defense,G_Runner,SBA_Runner,SB_Runner,CS_Runner,SB%_Runner,OOB_Runner,PKO_Runner
2015,NC,0.289,144,5727,4967,844,1437,283,28,161,2259,802,64,53.0,536,25,106,1023,105.0,0.455,0.367,0.822,144.0,0.293,0.28,4.26,144.0,84.0,57.0,37.0,55.0,0.596,1279+1/3,1283.0,149.0,436.0,113.0,1057.0,655.0,605.0,1.34,1,11,55,11,5536,21650.0,0.264,221,17,79,50,13,60,3.0,144,83,3,3838,1460,133.0,0.985,5,85,37.0,30.3,144,264,204,60.0,77.3,50,14.0
2015,·Ôµ¥,0.28,144,5680,4972,765,1393,254,19,177,2216,727,80,28.0,532,22,68,1186,136.0,0.446,0.356,0.802,144.0,0.274,0.183,5.07,144.0,66.0,77.0,19.0,47.0,0.462,1281+1/3,1461.0,164.0,489.0,87.0,1015.0,802.0,722.0,1.52,3,5,59,18,5724,22356.0,0.291,253,13,76,49,26,89,3.0,144,114,10,3844,1569,138.0,0.979,16,107,54.0,33.5,144,154,104,50.0,67.5,56,9.0
2015,KT,0.273,144,5605,4927,670,1344,221,15,129,1982,633,75,37.0,507,21,58,1112,118.0,0.402,0.345,0.747,142.0,0.272,0.267,5.56,144.0,52.0,91.0,16.0,31.0,0.364,1266+2/3,1518.0,154.0,577.0,87.0,1046.0,875.0,782.0,1.65,3,3,34,10,5799,22867.0,0.303,273,25,87,43,17,86,4.0,144,118,14,3800,1530,159.0,0.978,6,139,64.0,31.5,144,176,124,52.0,70.5,58,10.0
2015,SK,0.272,144,5588,4861,693,1323,214,10,145,1992,656,110,29.0,490,13,98,1047,113.0,0.41,0.349,0.759,144.0,0.28,0.227,4.71,144.0,69.0,73.0,31.0,60.0,0.486,1280+2/3,1358.0,153.0,517.0,70.0,1149.0,724.0,670.0,1.46,3,7,57,12,5646,22190.0,0.275,270,11,77,38,31,71,4.0,144,95,7,3842,1471,130.0,0.982,6,108,51.0,32.1,144,153,94,59.0,61.4,59,14.0
2015,ÇÑÈ­,0.271,144,5716,4852,717,1316,218,19,130,1962,667,139,35.0,581,33,109,1135,112.0,0.404,0.36,0.764,144.0,0.269,0.207,5.11,144.0,68.0,76.0,32.0,44.0,0.472,1279+2/3,1349.0,157.0,648.0,96.0,920.0,800.0,727.0,1.56,5,7,37,14,5771,22825.0,0.275,232,12,82,45,38,85,9.0,144,105,9,3839,1582,145.0,0.981,14,165,63.0,27.6,144,127,80,47.0,63.0,57,14.0
2015,LG,0.269,144,5599,4941,653,1331,252,22,114,1969,601,75,41.0,462,18,80,1076,98.0,0.399,0.339,0.738,144.0,0.245,0.218,4.62,144.0,64.0,78.0,25.0,44.0,0.451,1279+2/3,1352.0,125.0,490.0,98.0,1063.0,721.0,657.0,1.44,3,5,57,15,5599,21661.0,0.277,227,26,91,37,30,82,3.0,144,103,14,3839,1608,162.0,0.981,8,127,52.0,29.1,144,175,113,62.0,64.6,55,9.0
2015,KIA,0.251,144,5454,4777,648,1197,223,22,136,1872,602,79,43.0,454,16,101,1126,105.0,0.392,0.326,0.718,144.0,0.248,0.198,4.79,144.0,67.0,77.0,32.0,65.0,0.465,1273,1371.0,143.0,572.0,98.0,979.0,739.0,678.0,1.53,1,10,44,17,5673,22126.0,0.283,252,31,101,49,22,80,4.0,144,84,14,3819,1537,148.0,0.985,6,140,56.0,28.6,144,165,115,50.0,69.7,60,13.0
2016,µÎ»ê,0.298,144,5841,5044,935,1504,284,25,183,2387,877,43,68.0,600,11,86,884,121.0,0.473,0.378,0.851,144.0,0.305,0.261,4.45,144.0,93.0,50.0,36.0,55.0,0.65,1287+2/3,1385.0,136.0,498.0,77.0,982.0,682.0,636.0,1.46,2,7,75,15,5658,22155.0,0.279,246,30,59,51,7,66,4.0,144,79,8,3863,1522,160.0,0.986,4,82,44.0,34.9,144,130,85,45.0,65.4,64,4.0
2016,³Ø¼¾,0.293,144,5702,4990,813,1464,254,39,134,2198,765,34,59.0,556,17,63,956,121.0,0.44,0.368,0.808,144.0,0.306,0.244,4.96,144.0,77.0,66.0,38.0,74.0,0.538,1280+1/3,1487.0,152.0,435.0,68.0,895.0,757.0,705.0,1.5,0,4,45,17,5684,21627.0,0.294,249,27,66,59,3,50,3.0,144,94,8,3841,1460,121.0,0.983,11,98,60.0,38.0,144,237,154,83.0,65.0,56,11.0
2016,»ï¼º,0.293,144,5863,5093,852,1492,249,34,142,2235,792,88,55.0,552,15,75,864,119.0,0.439,0.367,0.806,144.0,0.298,0.221,5.64,144.0,65.0,78.0,34.0,60.0,0.455,1282+1/3,1507.0,193.0,518.0,87.0,935.0,869.0,804.0,1.58,2,4,49,18,5799,22623.0,0.296,251,20,59,43,6,52,8.0,144,90,12,3847,1410,140.0,0.983,8,115,58.0,33.5,144,154,104,50.0,67.5,51,5.0
2016,SK,0.291,144,5672,5023,753,1464,234,19,182,2282,715,71,47.0,429,13,102,1018,104.0,0.454,0.356,0.81,142.0,0.276,0.299,4.87,144.0,69.0,75.0,31.0,43.0,0.479,1274,1386.0,151.0,527.0,76.0,945.0,784.0,689.0,1.5,1,5,60,12,5659,21558.0,0.28,232,22,61,48,18,65,7.0,144,123,7,3822,1691,149.0,0.978,4,106,64.0,37.6,144,149,89,60.0,59.7,71,8.0
2016,NC,0.291,144,5833,5007,857,1457,249,19,169,2251,808,70,52.0,609,18,93,1023,133.0,0.45,0.375,0.825,143.0,0.302,0.239,4.48,144.0,83.0,58.0,36.0,62.0,0.589,1286+1/3,1314.0,137.0,516.0,86.0,1147.0,690.0,640.0,1.42,0,10,42,13,5643,22029.0,0.266,208,18,53,40,2,84,7.0,144,100,4,3859,1430,136.0,0.981,3,70,43.0,38.1,144,140,99,41.0,70.7,48,3.0
2016,LG,0.29,144,5765,5051,786,1464,238,26,118,2108,744,65,54.0,523,10,72,982,92.0,0.417,0.361,0.778,143.0,0.286,0.236,5.04,144.0,71.0,71.0,34.0,75.0,0.5,1287+2/3,1426.0,122.0,539.0,109.0,909.0,807.0,721.0,1.53,2,5,53,16,5782,22100.0,0.284,243,23,64,56,27,84,1.0,144,103,12,3863,1580,139.0,0.981,9,80,49.0,38.0,144,191,121,70.0,63.4,70,13.0
2016,ÇÑÈ­,0.289,144,5838,5109,826,1478,242,27,142,2200,787,87,41.0,510,19,91,1025,123.0,0.431,0.362,0.793,144.0,0.301,0.28,5.76,144.0,66.0,75.0,24.0,39.0,0.468,1292+2/3,1520.0,155.0,634.0,76.0,976.0,908.0,827.0,1.67,1,2,25,13,5937,23157.0,0.299,230,15,81,59,23,72,6.0,144,124,7,3878,1497,152.0,0.977,8,124,66.0,34.7,144,102,64,38.0,62.7,58,10.0
2016,·Ôµ¥,0.288,144,5784,5001,777,1439,252,20,127,2112,732,62,41.0,596,18,83,1061,120.0,0.422,0.37,0.792,144.0,0.285,0.251,5.63,144.0,66.0,78.0,27.0,59.0,0.458,1266+1/3,1486.0,161.0,585.0,78.0,1009.0,865.0,792.0,1.64,2,5,50,18,5785,22761.0,0.297,276,32,60,52,27,82,5.0,144,91,14,3799,1545,142.0,0.983,14,90,59.0,39.6,144,209,145,64.0,69.4,55,10.0
2016,KIA,0.286,144,5696,4999,803,1429,264,28,170,2259,754,66,45.0,499,12,87,997,109.0,0.452,0.358,0.81,144.0,0.288,0.286,4.97,144.0,70.0,73.0,38.0,74.0,0.49,1276,1456.0,131.0,561.0,59.0,965.0,785.0,705.0,1.58,7,5,58,21,5771,22527.0,0.29,230,23,75,54,18,69,7.0,144,111,10,3828,1441,139.0,0.979,4,136,49.0,26.5,144,151,101,50.0,66.9,52,12.0
2016,KT,0.276,144,5620,4963,672,1369,214,11,116,1953,639,65,45.0,499,7,48,933,130.0,0.394,0.345,0.739,144.0,0.278,0.22,5.92,144.0,53.0,89.0,27.0,48.0,0.373,1273,1593.0,145.0,560.0,84.0,980.0,927.0,838.0,1.69,1,2,38,15,5896,23328.0,0.31,315,38,73,45,9,77,9.0,144,130,5,3819,1550,151.0,0.976,11,115,55.0,32.4,144,142,96,46.0,67.6,58,11.0
2017,KIA,0.302,144,5841,5142,906,1554,292,29,170,2414,868,55,56.0,499,19,89,891,117.0,0.469,0.37,0.839,144.0,0.324,0.254,4.79,144.0,87.0,56.0,33.0,46.0,0.608,1290,1518.0,137.0,434.0,77.0,985.0,743.0,687.0,1.51,5,5,75,18,5748,22223.0,0.295,255,21,52,46,22,69,4.0,144,98,4,3870,1498,153.0,0.982,12,69,45.0,39.5,144,110,76,34.0,69.1,46,8.0
