연도,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
2005,손민한,롯데,2.46,28,18,7,1,0,0.72,168+1/3,149,9,38,2,105,54,46,1.11,1,0,19,0,678,2433,0.24,23,1,13,4,2,4,0,26,17,1,3,1,0,19,246,125,1.97
2005,배영수,삼성,2.86,31,11,11,2,1,0.5,173,148,10,48,11,147,61,55,1.13,2,1,17,0,713,2637,0.233,23,5,17,3,2,14,0,26,11,0,5,4,1,11,180,162,1.11
2005,랜들,두산,3.25,29,12,7,0,0,0.632,149+2/3,163,18,47,15,111,59,54,1.4,1,1,14,0,658,2552,0.279,23,2,7,5,1,3,0,26,11,1,1,0,0,13,136,179,0.76
2005,황두성,현대,3.29,60,11,9,1,7,0.55,128+2/3,106,15,41,6,137,53,47,1.14,0,0,4,0,535,2140,0.223,19,1,10,2,1,5,0,5,2,9,17,10,0,6,100,135,0.74
2005,신승현,SK,3.38,30,12,9,0,0,0.571,154+2/3,146,12,45,12,91,70,58,1.23,2,2,12,0,653,2457,0.25,23,2,9,3,0,4,0,22,11,1,3,0,0,10,187,163,1.15
2005,김원형,SK,3.41,30,14,8,0,0,0.636,171+2/3,172,17,30,15,94,73,65,1.18,0,0,17,0,715,2477,0.263,27,1,13,2,0,1,0,30,14,0,0,1,0,18,230,161,1.43
2005,문동환,한화,3.47,26,10,9,0,0,0.526,173+2/3,174,12,57,3,103,74,67,1.33,1,0,18,0,739,2746,0.265,31,2,18,5,2,3,0,26,10,0,1,0,0,7,205,179,1.15
2005,리오스,두산,3.51,32,15,12,0,0,0.556,205+1/3,203,20,57,17,147,88,80,1.27,3,0,18,0,856,3139,0.267,28,1,19,2,0,4,1,32,15,0,3,0,0,22,217,196,1.11
2005,송진우,한화,3.81,23,11,7,0,0,0.611,127+2/3,126,13,42,7,88,61,54,1.32,1,1,12,0,551,2139,0.259,16,0,15,1,1,2,0,22,11,0,1,0,0,11,166,107,1.55
2005,김진우,KIA,3.91,31,6,10,1,0,0.375,145,126,10,61,12,123,71,63,1.29,6,1,11,0,623,2416,0.237,19,0,14,5,1,10,1,23,6,0,11,1,0,14,186,101,1.84
2005,캘러웨이,현대,3.97,32,16,9,0,0,0.64,197+1/3,206,17,54,12,103,99,87,1.32,0,0,17,0,848,3121,0.269,26,5,12,3,0,3,0,31,16,0,0,0,0,20,288,173,1.66
2005,최원호,LG,4.07,27,13,6,0,0,0.684,163+2/3,153,17,60,15,106,79,74,1.3,0,0,13,0,704,2820,0.253,27,2,15,9,6,3,0,27,13,0,0,0,0,11,170,185,0.92
2005,김해님,한화,4.28,32,6,8,1,2,0.429,128+1/3,152,12,30,10,61,66,61,1.42,0,0,8,0,554,1863,0.303,20,0,9,4,0,1,0,21,6,0,1,4,0,17,178,114,1.56
2005,바르가스,삼성,5.06,26,10,8,0,0,0.556,128,120,12,63,7,66,78,72,1.43,0,0,8,0,561,2252,0.253,22,3,12,4,0,10,1,26,10,0,0,0,0,14,172,121,1.42
2005,손승락,현대,5.43,26,5,10,0,0,0.333,134+1/3,154,18,48,10,80,81,81,1.5,1,0,8,0,599,2326,0.294,24,3,12,6,0,6,1,23,5,0,2,0,0,9,160,135,1.19
2006,류현진,한화,2.23,30,18,6,1,0,0.75,201+2/3,159,11,52,2,204,57,50,1.05,6,1,18,0,800,3020,0.221,28,1,24,3,3,6,0,28,18,0,8,1,0,8,169,190,0.89
2006,브라운,삼성,2.68,27,11,9,0,0,0.55,154+1/3,118,14,44,13,92,50,46,1.05,1,0,15,0,625,2391,0.214,18,3,11,6,1,3,0,26,11,0,1,0,0,9,158,189,0.84
2006,손민한,롯데,2.78,25,10,8,1,0,0.556,161+2/3,147,4,39,9,96,54,50,1.15,2,1,15,0,664,2399,0.247,27,1,16,3,6,3,0,24,10,0,3,1,1,11,216,140,1.54
2006,이혜천,두산,2.79,32,8,6,0,1,0.571,142,119,4,56,12,104,52,44,1.23,0,0,10,0,594,2224,0.235,20,0,11,8,0,5,1,22,8,0,1,1,0,17,179,113,1.58
2006,장원삼,현대,2.85,29,12,10,0,0,0.545,183+1/3,146,19,63,5,142,60,58,1.14,0,0,19,0,743,2914,0.223,25,0,17,2,0,3,0,29,12,0,0,0,0,14,168,202,0.83
