¿¬µµ,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
2011,LG,0.266,133,5158,4522,579,1203,192,15,94,1707,539,86,37.0,463,15,49,858,106.0,0.377,0.338,0.715,133.0,0.271,0.169
2011,SK,0.263,133,5124,4404,584,1157,204,18,100,1697,561,147,36.0,470,15,67,891,88.0,0.385,0.34,0.725,133.0,0.263,0.238
2011,»ï¼º,0.259,133,5145,4437,625,1150,193,20,95,1668,585,73,43.0,522,23,69,940,97.0,0.376,0.343,0.719,132.0,0.262,0.167
2011,ÇÑÈ­,0.255,133,5085,4367,568,1112,160,14,93,1579,536,130,25.0,488,14,74,906,93.0,0.362,0.338,0.7,133.0,0.287,0.212
2011,³Ø¼¾,0.245,133,4989,4343,512,1065,187,23,79,1535,472,103,32.0,460,16,51,992,94.0,0.353,0.323,0.676,132.0,0.252,0.212
2012,»ï¼º,0.272,133,5161,4436,628,1205,200,26,89,1724,585,91,47.0,500,19,86,813,91.0,0.389,0.353,0.742,132.0,0.273,0.169
2012,·Ôµ¥,0.263,133,5043,4481,509,1179,202,16,73,1632,479,107,26.0,375,19,54,890,91.0,0.364,0.326,0.69,133.0,0.261,0.194
2012,LG,0.261,133,5180,4539,544,1184,212,18,59,1609,512,80,50.0,458,19,53,857,107.0,0.354,0.332,0.686,132.0,0.253,0.197
2012,µÎ»ê,0.26,133,4938,4379,524,1139,172,26,59,1540,490,102,40.0,362,12,54,659,129.0,0.352,0.322,0.674,132.0,0.286,0.201
2012,SK,0.258,133,4996,4347,564,1120,197,15,108,1671,523,118,28.0,445,19,58,864,85.0,0.384,0.333,0.717,131.0,0.256,0.197
2012,KIA,0.256,133,5131,4348,553,1112,197,19,54,1509,518,132,47.0,544,18,60,790,100.0,0.347,0.343,0.69,132.0,0.267,0.178
2012,ÇÑÈ­,0.249,133,5057,4331,509,1077,208,12,71,1522,479,100,27.0,538,17,61,907,102.0,0.351,0.338,0.689,133.0,0.253,0.219
2012,³Ø¼¾,0.243,133,5021,4338,549,1056,189,28,102,1607,509,92,43.0,476,17,72,892,79.0,0.37,0.325,0.695,132.0,0.261,0.154
2013,µÎ»ê,0.289,128,5142,4401,699,1271,217,37,95,1847,654,82,56.0,524,19,79,717,105.0,0.42,0.37,0.79,128.0,0.289,0.295
2013,»ï¼º,0.283,128,5042,4370,669,1235,212,17,113,1820,624,84,41.0,453,9,93,818,98.0,0.416,0.359,0.775,128.0,0.298,0.208
2013,LG,0.282,128,4934,4291,616,1210,194,38,59,1657,574,91,42.0,451,11,59,806,80.0,0.386,0.355,0.741,128.0,0.295,0.252
2013,³Ø¼¾,0.272,128,5015,4294,646,1167,209,11,125,1773,607,76,42.0,505,12,98,912,94.0,0.413,0.358,0.771,127.0,0.28,0.2
2013,SK,0.265,128,4950,4278,588,1134,189,20,124,1735,558,83,37.0,465,26,86,918,99.0,0.406,0.346,0.752,128.0,0.266,0.245
2013,·Ôµ¥,0.261,128,4978,4289,556,1118,208,18,61,1545,522,74,41.0,502,22,72,862,92.0,0.36,0.345,0.705,128.0,0.259,0.279
2013,KIA,0.261,128,5051,4318,587,1125,195,13,88,1610,545,78,42.0,537,8,75,864,110.0,0.373,0.349,0.722,127.0,0.258,0.24
2013,ÇÑÈ­,0.259,128,4915,4271,480,1106,212,13,47,1485,448,54,30.0,479,11,80,933,140.0,0.348,0.343,0.691,128.0,0.253,0.211
2013,NC,0.244,128,4866,4282,512,1045,209,25,86,1562,485,55,31.0,434,11,62,955,94.0,0.365,0.32,0.685,127.0,0.257,0.176
2014,»ï¼º,0.301,128,5152,4464,812,1345,238,23,161,2112,763,76,43.0,507,11,62,743,88.0,0.473,0.377,0.85,128.0,0.327,0.223
2014,³Ø¼¾,0.298,128,5163,4434,841,1323,275,31,199,2257,786,65,40.0,523,10,101,849,100.0,0.509,0.382,0.891,128.0,0.286,0.233
2014,µÎ»ê,0.293,128,5083,4427,687,1299,235,26,108,1910,646,81,43.0,468,10,64,731,103.0,0.431,0.366,0.797,128.0,0.282,0.194
2014,SK,0.291,128,5082,4423,735,1285,245,22,115,1919,696,91,49.0,447,12,72,926,92.0,0.434,0.361,0.795,128.0,0.301,0.305
2014,KIA,0.288,128,5023,4443,662,1279,246,27,121,1942,631,67,35.0,416,11,62,870,95.0,0.437,0.355,0.792,128.0,0.258,0.235
2014,·Ôµ¥,0.287,128,5194,4487,716,1288,252,26,121,1955,685,62,41.0,534,19,70,964,95.0,0.436,0.369,0.805,127.0,0.283,0.245
2014,ÇÑÈ­,0.283,128,5055,4417,619,1251,223,24,104,1834,594,50,43.0,490,5,55,839,125.0,0.415,0.359,0.774,128.0,0.266,0.221
2014,NC,0.282,128,5031,4426,737,1249,228,36,143,1978,697,44,51.0,443,9,67,918,90.0,0.447,0.353,0.8,127.0,0.3,0.257
2014,LG,0.279,128,5070,4349,668,1214,213,22,90,1741,622,77,57.0,524,17,63,817,112.0,0.4,0.361,0.761,127.0,0.29,0.202
2015,»ï¼º,0.302,144,5803,5019,897,1515,259,25,176,2352,850,76,57.0,581,21,70,930,109.0,0.469,0.378,0.847,143.0,0.311,0.239
2015,³Ø¼¾,0.298,144,5811,5069,904,1512,304,20,203,2465,855,61,55.0,544,18,82,1098,112.0,0.486,0.372,0.858,141.0,0.298,0.27
2015,µÎ»ê,0.29,144,5759,4957,807,1436,254,22,140,2154,770,75,60.0,567,24,99,820,139.0,0.435,0.37,0.805,143.0,0.287,0.262
2015,NC,0.289,144,5727,4967,844,1437,283,28,161,2259,802,64,53.0,536,25,106,1023,105.0,0.455,0.367,0.822,144.0,0.293,0.28
2015,·Ôµ¥,0.28,144,5680,4972,765,1393,254,19,177,2216,727,80,28.0,532,22,68,1186,136.0,0.446,0.356,0.802,144.0,0.274,0.183
2015,KT,0.273,144,5605,4927,670,1344,221,15,129,1982,633,75,37.0,507,21,58,1112,118.0,0.402,0.345,0.747,142.0,0.272,0.267
2015,SK,0.272,144,5588,4861,693,1323,214,10,145,1992,656,110,29.0,490,13,98,1047,113.0,0.41,0.349,0.759,144.0,0.28,0.227
2015,ÇÑÈ­,0.271,144,5716,4852,717,1316,218,19,130,1962,667,139,35.0,581,33,109,1135,112.0,0.404,0.36,0.764,144.0,0.269,0.207
2015,LG,0.269,144,5599,4941,653,1331,252,22,114,1969,601,75,41.0,462,18,80,1076,98.0,0.399,0.339,0.738,144.0,0.245,0.218
2015,KIA,0.251,144,5454,4777,648,1197,223,22,136,1872,602,79,43.0,454,16,101,1126,105.0,0.392,0.326,0.718,144.0,0.248,0.198
2016,µÎ»ê,0.298,144,5841,5044,935,1504,284,25,183,2387,877,43,68.0,600,11,86,884,121.0,0.473,0.378,0.851,144.0,0.305,0.261
2016,³Ø¼¾,0.293,144,5702,4990,813,1464,254,39,134,2198,765,34,59.0,556,17,63,956,121.0,0.44,0.368,0.808,144.0,0.306,0.244
2016,»ï¼º,0.293,144,5863,5093,852,1492,249,34,142,2235,792,88,55.0,552,15,75,864,119.0,0.439,0.367,0.806,144.0,0.298,0.221
2016,SK,0.291,144,5672,5023,753,1464,234,19,182,2282,715,71,47.0,429,13,102,1018,104.0,0.454,0.356,0.81,142.0,0.276,0.299
2016,NC,0.291,144,5833,5007,857,1457,249,19,169,2251,808,70,52.0,609,18,93,1023,133.0,0.45,0.375,0.825,143.0,0.302,0.239
2016,LG,0.29,144,5765,5051,786,1464,238,26,118,2108,744,65,54.0,523,10,72,982,92.0,0.417,0.361,0.778,143.0,0.286,0.236
2016,ÇÑÈ­,0.289,144,5838,5109,826,1478,242,27,142,2200,787,87,41.0,510,19,91,1025,123.0,0.431,0.362,0.793,144.0,0.301,0.28
