연도,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2003,송재익,SK,92,8,5,3,62.5,0,0
2003,신종길,롯데,40,7,5,2,71.4,0,0
2003,권용관,LG,78,6,4,2,66.7,0,0
2003,안치용,LG,37,4,4,0,100.0,0,0
2003,이숭용,현대,133,6,4,2,66.7,0,0
2003,안재만,SK,85,9,4,5,44.4,0,0
2003,오태근,LG,8,4,3,1,75.0,0,0
2003,김상훈,KIA,125,5,3,2,60.0,0,0
2003,장정석,KIA,86,4,3,1,75.0,0,0
2003,김동수,현대,117,7,3,4,42.9,0,0
2003,브룸바,현대,70,8,3,5,37.5,0,0
2003,조재호,현대,97,4,3,1,75.0,0,0
2003,김동주,두산,118,5,3,2,60.0,0,0
2003,김태균,한화,133,5,3,2,60.0,0,0
2003,백재호,한화,96,4,3,1,75.0,0,0
2003,김태균,롯데,101,3,3,0,100.0,0,0
2003,손인호,롯데,103,7,3,4,42.9,0,0
2003,신명철,롯데,101,10,3,7,30.0,0,0
2003,이승화,롯데,23,4,3,1,75.0,0,0
2003,김재걸,삼성,85,4,2,2,50.0,0,0
2003,브리또,삼성,102,4,2,2,50.0,0,0
2003,양준혁,삼성,133,7,2,5,28.6,0,0
2003,김용우,LG,45,3,2,1,66.7,0,0
2003,박경수,LG,84,4,2,2,50.0,0,0
2003,김인철,KIA,37,4,2,2,50.0,0,0
2003,황윤성,KIA,64,4,2,2,50.0,0,0
2003,이택근,현대,101,5,2,3,40.0,0,0
2003,정수성,현대,26,2,2,0,100.0,0,0
2003,손시헌,두산,59,2,2,0,100.0,0,0
2003,홍성흔,두산,73,4,2,2,50.0,0,0
2003,김기태,SK,93,4,2,2,50.0,0,0
2003,양현석,SK,55,2,2,0,100.0,0,0
2003,조경환,SK,121,8,2,6,25.0,0,0
2003,이범호,한화,107,8,2,6,25.0,0,0
2003,임수민,한화,106,5,2,3,40.0,0,0
2003,권오현,롯데,38,3,2,1,66.7,0,0
2003,김응국,롯데,51,4,2,2,50.0,0,0
2003,조효상,롯데,36,3,2,1,66.7,0,0
2003,페레즈,롯데,50,5,2,3,40.0,0,0
2003,강명구,삼성,9,1,1,0,100.0,0,0
2003,마해영,삼성,132,2,1,1,50.0,0,0
2003,진갑용,삼성,126,2,1,1,50.0,0,0
2003,이병규,LG,44,4,1,3,25.0,0,0
2003,최동수,LG,91,3,1,2,33.3,0,0
2003,쿡슨,LG,23,2,1,1,50.0,0,0
2003,홍현우,LG,97,2,1,1,50.0,0,0
2003,김민철,KIA,26,1,1,0,100.0,0,0
2003,김원섭,KIA,19,1,1,0,100.0,0,0
2003,신동주,KIA,95,3,1,2,33.3,0,0
2003,엄정대,KIA,22,3,1,2,33.3,0,0
2003,이재주,KIA,103,4,1,3,25.0,0,0
2003,이정상,KIA,8,1,1,0,100.0,0,0
2003,최동락,KIA,26,2,1,1,50.0,0,0
2003,허준,KIA,44,1,1,0,100.0,0,0
2003,강귀태,현대,66,2,1,1,50.0,0,0
2003,김일경,현대,80,4,1,3,25.0,0,0
2003,조승현,현대,8,1,1,0,100.0,0,0
2003,강봉규,두산,6,1,1,0,100.0,0,0
2003,고영민,두산,32,1,1,0,100.0,0,0
2003,나주환,두산,96,1,1,0,100.0,0,0
2003,심재학,두산,111,1,1,0,100.0,0,0
2003,안경현,두산,128,2,1,1,50.0,0,0
2003,이동수,두산,34,1,1,0,100.0,0,0
2003,이민택,두산,9,1,1,0,100.0,0,0
2003,이승준,두산,24,1,1,0,100.0,0,0
2003,장원진,두산,124,2,1,1,50.0,0,0
2003,강혁,SK,117,4,1,3,25.0,0,0
2003,메히아,한화,30,5,1,4,20.0,0,0
2003,장종훈,한화,83,4,1,3,25.0,0,0
2003,조윤채,한화,59,2,1,1,50.0,0,0
2003,조현수,한화,96,3,1,2,33.3,0,0
2003,황우구,한화,63,4,1,3,25.0,0,0
2003,윤재국,롯데,63,4,1,3,25.0,0,0
2003,이인구,롯데,9,2,1,1,50.0,0,0
2003,곽용섭,삼성,5,0,0,0,-,0,0
2003,권오준,삼성,1,0,0,0,-,0,0
2003,권혁,삼성,1,0,0,0,-,0,0
2003,김승관,삼성,1,0,0,0,-,0,0
2003,김종훈,삼성,88,0,0,0,-,0,0
2003,김진웅,삼성,1,0,0,0,-,0,0
2003,노장진,삼성,2,0,0,0,-,0,0
2003,라이언,삼성,1,0,0,0,-,0,0
2003,라형진,삼성,1,0,0,0,-,0,0
2003,박정환,삼성,81,0,0,0,-,0,0
2003,손주인,삼성,19,0,0,0,-,0,0
2003,심성보,삼성,38,1,0,1,0.0,0,0
2003,안지만,삼성,1,0,0,0,-,0,0
2003,이정호,삼성,1,0,0,0,-,0,0
2003,이준민,삼성,3,0,0,0,-,0,0
2003,이태호,삼성,6,0,0,0,-,0,0
2003,임창용,삼성,1,0,0,0,-,0,0
2003,장영균,삼성,1,0,0,0,-,0,0
2003,전병호,삼성,1,0,0,0,-,0,0
